PassengerId,Survived
421,0
618,1
116,0
310,1
57,0
887,1
613,0
232,0
498,1
299,1
266,0
696,0
147,0
191,0
381,1
753,0
700,1
233,0
611,0
733,0
318,1
656,0
637,0
228,0
172,1
734,0
728,0
788,1
536,0
473,1
528,0
615,1
464,0
640,0
59,0
438,0
406,0
36,0
152,0
127,0
400,0
427,1
328,1
103,0
15,1
24,0
647,0
153,0
463,0
146,0
402,1
778,0
589,0
845,0
135,0
793,0
736,0
654,1
641,1
572,0
703,0
591,1
875,1
331,0
394,1
510,0
288,0
750,1
812,0
867,0
821,0
391,0
623,0
650,0
178,0
436,0
8,1
616,0
132,1
82,1
487,0
720,1
330,1
801,1
276,1
756,0
685,0
869,1
419,1
844,0
556,1
376,1
345,1
437,0
678,0
301,0
864,0
371,0
50,0
830,1
747,1
543,0
697,1
390,0
631,0
121,0
221,0
738,0
347,1
416,1
525,0
42,0
610,0
114,1
83,0
302,0
92,0
604,0
456,0
693,0
452,0
314,0
6,0
533,1
342,0
445,1
482,0
283,0
598,0
293,1
143,0
856,1
73,0
227,0
425,0
282,0
200,0
256,1
862,1
412,1
303,1
674,0
434,0
340,1
72,0
514,0
684,0
882,1
461,0
479,1
704,0
580,1
188,0
267,0
429,0
655,0
480,0
37,0
775,0
727,1
218,1
497,0
362,1
833,0
18,1
599,0
180,0
306,1
192,1
469,1
277,0
327,1
319,1
440,1
196,0
551,0
207,0
280,0
794,0
475,0
211,1
691,1
285,0
620,0
64,0
199,1
834,0
324,0
752,0
249,0
130,0
441,0
784,0
128,1
137,0
633,0
148,0
458,1
449,0
260,0
215,1
174,0
593,1
739,0
575,0
889,0
594,0
606,0
86,0
665,0
372,0
268,1
712,0
695,0
776,0
558,1
182,0
448,1
99,0
9,1
358,1
471,0
224,0
284,0
89,0
878,0
126,0
627,1
483,1
96,0
529,0
442,0
113,1
75,0
792,0
592,0
771,0
209,0
304,0
0,0
826,0
849,1
336,0
813,0
612,1
562,0
513,1
708,1
309,1
23,0
548,0
725,0
478,0
420,0
569,0
638,0
194,1
316,1
843,0
876,0
47,1
853,1
873,0
653,1
500,0
512,0
758,0
607,0
