"Rank","Root Domain","Linking Root Domains","Domain Authority"
"1","www.google.com","15,188,313","100"
"2","youtube.com","23,676,494","100"
"3","www.blogger.com","30,873,676","100"
"4","linkedin.com","12,761,063","99"
"5","apple.com","6,725,601","99"
"6","microsoft.com","5,463,302","99"
"7","play.google.com","3,945,138","99"
"8","support.google.com","5,917,296","99"
"9","whatsapp.com","4,359,942","98"
"10","cloudflare.com","7,383,215","98"
"11","wordpress.org","12,345,890","98"
"12","youtu.be","5,355,201","98"
"13","en.wikipedia.org","7,140,328","98"
"14","docs.google.com","3,527,191","98"
"15","maps.google.com","6,182,858","98"
"16","adobe.com","2,879,095","97"
"17","drive.google.com","2,586,220","97"
"18","plus.google.com","10,958,690","97"
"19","googleusercontent.com","3,665,478","97"
"20","sites.google.com","2,339,245","97"
"21","mozilla.org","2,539,553","97"
"22","bp.blogspot.com","18,181,456","97"
"23","europa.eu","2,367,640","97"
"24","accounts.google.com","2,548,656","97"
"25","istockphoto.com","3,693,466","96"
"26","vk.com","1,835,017","96"
"27","uol.com.br","691,832","96"
"28","vimeo.com","3,614,785","96"
"29","policies.google.com","3,284,561","96"
"30","facebook.com","60,534,510","96"
"31","github.com","3,039,545","96"
"32","t.me","1,519,177","96"
"33","amazon.com","5,087,072","96"
"34","medium.com","1,823,102","95"
"35","bbc.co.uk","1,752,698","95"
"36","msn.com","1,099,499","95"
"37","cnn.com","1,672,873","95"
"38","search.google.com","1,791,072","95"
"39","www.yahoo.com","1,336,770","95"
"40","line.me","1,031,850","95"
"41","paypal.com","1,177,878","95"
"42","google.de","1,102,919","95"
"43","enable-javascript.com","9,239,626","95"
"44","forbes.com","1,475,904","95"
"45","es.wikipedia.org","985,006","95"
"46","google.com.br","298,551","95"
"47","files.wordpress.com","7,669,379","95"
"48","slideshare.net","1,007,420","95"
"49","gravatar.com","12,588,492","95"
"50","shopify.com","3,146,351","95"
"51","google.co.jp","653,626","95"
"52","tiktok.com","1,166,874","95"
"53","jimdofree.com","1,709,098","95"
"54","dropbox.com","1,120,602","95"
"55","mail.google.com","670,232","95"
"56","wikimedia.org","2,100,040","95"
"57","gstatic.com","636,098","95"
"58","creativecommons.org","1,763,435","95"
"59","live.com","1,017,162","95"
"60","opera.com","1,011,755","95"
"61","brandbucket.com","11,181,271","95"
"62","nytimes.com","2,218,590","95"
"63","who.int","2,036,300","95"
"64","news.google.com","857,379","95"
"65","theguardian.com","1,611,713","95"
"66","ok.ru","373,868","95"
"67","wa.me","1,757,759","95"
"68","developers.google.com","1,150,252","95"
"69","myspace.com","1,372,791","95"
"70","imdb.com","1,553,072","95"
"71","draft.blogger.com","12,663,834","95"
"72","globo.com","464,364","95"
"73","www.weebly.com","6,136,224","95"
"74","google.es","481,329","95"
"75","dailymotion.com","1,133,948","95"
"76","feedburner.com","1,817,036","95"
