iter	RMSE
0	77803.87013
1	75966.96262
2	74207.55605
3	72488.64464
4	70793.06181
5	69320.09105
6	67943.11628
7	66225.89115
8	64883.5014
9	63504.04752
10	62078.48787
11	60719.89193
12	59475.69489
13	58304.00864
14	57184.9841
15	56058.84927
16	54975.54702
17	53891.43689
18	52854.81587
19	51783.78124
20	50887.11602
21	49840.53184
22	48924.93312
23	48078.16836
24	47141.35041
25	46244.27778
26	45403.80863
27	44635.60562
28	43990.23448
29	43284.67397
30	42600.16135
31	41832.28889
32	41161.66345
33	40540.27873
34	39885.14208
35	39246.66214
36	38690.2257
37	38118.53592
38	37655.23148
39	37134.25529
40	36662.77405
41	36197.33286
42	35727.71924
43	35241.00518
44	34792.28638
45	34375.94603
46	33956.50608
47	33582.97999
48	33204.99545
49	32782.24584
50	32361.15047
51	32037.17017
52	31723.54321
53	31352.24462
54	31027.55689
55	30710.15485
56	30393.55333
57	30075.13176
58	29741.57169
59	29439.16075
60	29161.62452
61	28876.18137
62	28587.71509
63	28343.9209
64	28150.01946
65	27941.29137
66	27743.35968
67	27523.3348
68	27346.48533
69	27137.58256
70	26913.3263
71	26702.10962
72	26512.16855
73	26324.82529
74	26175.43081
75	25995.40367
76	25769.97705
77	25585.43723
78	25389.16199
79	25269.06774
80	25121.74493
81	24969.42405
82	24811.95771
83	24691.34507
84	24567.50649
85	24420.8967
86	24291.40555
87	24160.87167
88	24055.18306
89	23910.45992
90	23768.71388
91	23662.34959
92	23532.72244
93	23417.25066
94	23364.80406
95	23227.43527
96	23120.47975
97	22993.17603
98	22871.02164
99	22757.8259
100	22690.29186
101	22576.46528
102	22466.64333
103	22356.51516
104	22318.98845
105	22232.43328
106	22091.8119
107	22005.2442
108	21896.66242
109	21811.93358
110	21732.50844
111	21631.4822
112	21528.11766
113	21447.74062
114	21339.95751
115	21250.66289
116	21130.82369
117	21033.67985
118	20965.00005
119	20865.01525
120	20772.04965
121	20699.52278
122	20618.12194
123	20585.27908
124	20482.6347
125	20383.80173
126	20297.18799
127	20215.57092
128	20142.1949
129	20083.43372
130	20018.08363
131	19944.89658
132	19896.37043
133	19825.35776
134	19780.77498
135	19725.47674
136	19673.46155
137	19642.5883
138	19583.03789
139	19512.148
140	19446.85849
141	19378.09812
142	19314.69008
143	19232.77911
144	19208.41015
145	19152.68552
146	19091.4966
147	19042.90615
148	19006.72238
149	18923.40507
150	18880.65351
151	18826.48176
152	18775.34516
153	18754.11147
154	18680.27489
155	18622.67449
156	18577.56858
157	18513.60666
158	18454.74295
159	18376.66133
160	18335.7094
161	18302.90858
162	18235.59019
163	18191.2768
164	18133.99463
165	18114.86354
166	18059.26983
167	17992.33551
168	17926.11357
169	17866.76195
170	17816.91874
171	17797.61986
172	17724.97828
173	17675.10904
174	17618.49277
175	17599.71318
176	17544.12737
177	17496.34118
178	17439.24506
179	17388.29539
180	17340.75154
181	17286.62455
182	17224.45968
183	17200.98506
184	17147.85655
185	17098.45196
186	17042.31635
187	17021.16351
188	16998.74856
189	16942.61654
190	16887.31156
191	16841.18098
192	16828.26831
193	16772.49512
194	16721.70525
195	16708.46613
196	16669.20482
197	16624.8894
198	16599.35735
199	16584.70709
200	16573.55933
201	16522.51917
202	16477.01336
203	16435.44113
204	16392.3227
205	16343.99287
206	16302.47356
207	16263.62266
208	16221.01266
