iter	RMSE
0	9.204526563
1	9.02701447
2	8.868238061
3	8.72291957
4	8.566455487
5	8.426632124
6	8.287436508
7	8.157810585
8	8.02714869899	7.888649122
10	7.778617917111	7.638558741
12	7.524131674113	7.389687804
14	7.278101384
15	7.162830026
16	7.058830517	17	6.959359318	18	6.847894119	19	6.72441342020	6.618471842121	6.526028342222	6.426306576
23	6.3293851
24	6.228913787
25	6.141044637
26	6.056768194
27	5.989079999
28	5.920481083
29	5.833234845
30	5.764092317
31	5.684479613
32	5.618350998
33	5.537174724
34	5.45525349
35	5.394297133
36	5.330947395
37	5.26313672
38	5.200222575
39	5.13640864
40	5.080265372
41	5.008319984
42	4.959962426
43	4.903017587
44	4.853204281
45	4.798771586
46	4.743107486
47	4.690118401
48	4.646657057
49	4.594527923
50	4.552556107
51	4.512988713
52	4.476808246
53	4.435358735
54	4.404714293
55	4.362988109
56	4.322011257
57	4.281508331
58	4.239180712
59	4.202591053
60	4.164913059
61	4.1252362	4.62	4.08681613
63	4.054553309
64	4.01468165	465	3.978328522
66	3.941173303
67	3.901776573
68	3.875945685
69	3.844995341
70	3.809398682
71	3.778589322
72	3.748676705
73	3.709001048
74	3.684457148
75	3.659563332
76	3.628255906
77	3.597217385
78	3.57181279	379	3.544560384
80	3.519336224
81	3.493246596
82	3.475161073
83	3.454257719
84	3.433484897
85	3.417404048
86	3.395810145
87	3.37380622
88	3.34957989	389	3.3352990	3.90	3.315064277
91	3.306506811
92	3.2918293	3.93	3.265543968
94	3.248549517
95	3.231623947
96	3.212052604
97	3.2014398	3.98	3.1820799	3.99	3.15647100	3100	3.135631115
101	3.12448102	3102	3.10803103	3103	3.08958104	104	3.072181105	105	3.0540731061106	3.0381211071107	3.01974510108	2.8397147810109	2.821770431111110	2.96716111111	2.7938009112112	2.779773011311113	2.93172114114	2.7540680115115	2.735054167
116	2.722370676
117	2.706720102
118	2.6958075119119	2.684682009
120	2.675761898
121	2.661532835
122	2.647872887
123	2.632328389
124	2.618846425
125	2.607649137
126	2.592285436
127	2.578900877
128	2.56487008
129	2.557816225
130	2.54627571
131	2.531378467
132	2.520479943
133	2.510899026
134	2.500706936
135	2.493184133
136	2.481644652
137	2.476148338
138	2.469348207
139	2.457527082
140	2.449244338
141	2.436844522
142	2.427578247
143	2.424494536
144	2.413113351
145	2.404205963
146	2.395354359
147	2.386025148	148	2.3801841414149	2.372177150	150	2.363147151	2.516434935
152	2.51238647
153	2.501298076
154	2.49462923
155	2.483798869
156	2.480309722
157	2.470520468
158	2.463344098
159	2.454529368
160	2.443882173
161	2.433918898
162	2.423877865
163	2.409351916
164	2.396928399
165	2.386833766
166	2.372018786
167	2.361675201
168	2.356597268
169	2.350708547
170	2.347264688
171	2.336727373
172	2.327237703
173	2.317473637
174	2.308364633
175	2.304349162
176	2.299624476
177	2.288280676
