iter	Passed	Remaining
0	57	57468
1	60	29951
2	61	20506
3	64	15969
4	65	13132
5	67	11258
6	69	9876
7	72	8937
8	73	8147
9	75	7492
10	77	6953
11	78	6496
12	80	6118
13	83	5910
14	85	5645
15	87	5382
16	89	5150
17	90	4945
18	92	4770
19	94	4608
20	95	4461
21	97	4321
22	99	4216
23	101	4123
24	103	4019
25	105	3952
26	107	3859
27	108	3782
28	110	3710
29	112	3644
30	114	3570
31	115	3497
32	117	3445
33	119	3383
34	120	3325
35	122	3288
36	124	3243
37	126	3207
38	128	3166
39	130	3129
40	133	3121
41	136	3119
42	140	3124
43	142	3089
44	143	3048
45	145	3016
46	147	2984
47	148	2954
48	150	2921
49	152	2891
50	153	2863
51	155	2836
52	157	2810
53	158	2782
54	160	2759
55	162	2734
56	164	2715
57	165	2692
58	167	2669
59	169	2662
60	172	2656
61	174	2636
62	175	2615
63	177	2601
64	179	2585
65	182	2582
66	184	2563
67	185	2544
68	187	2528
69	189	2512
70	190	2496
71	192	2486
72	194	2471
73	196	2456
74	197	2441
75	199	2425
76	201	2411
77	202	2397
78	204	2383
79	206	2370
80	207	2356
81	209	2343
82	210	2328
83	212	2314
84	213	2301
85	215	2290
86	217	2277
87	218	2268
88	220	2260
89	223	2259
90	224	2247
91	226	2238
92	228	2232
93	230	2220
94	232	2217
95	234	2208
96	236	2204
97	238	2196
98	240	2189
99	242	2183
100	246	2192
101	247	2182
102	250	2178
103	251	2168
104	253	2159
105	254	2149
106	256	2139
107	257	2129
108	259	2119
109	260	2110
110	262	2102
111	264	2093
112	265	2084
113	267	2078
114	268	2069
115	270	2060
116	271	2051
117	273	2045
118	275	2036
119	277	2032
120	278	2025
121	280	2018
122	281	2009
123	283	2002
124	284	1994
125	286	1988
126	288	1980
127	289	1972
128	292	1975
129	294	1967
130	295	1960
131	297	1954
132	298	1946
133	300	1939
134	301	1932
135	303	1925
136	304	1918
137	306	1911
138	307	1906
139	309	1898
140	311	1896
141	313	1891
142	314	1884
143	315	1875
144	317	1869
145	318	1863
146	320	1858
147	321	1851
148	323	1845
149	324	1839
150	326	1835
151	327	1829
152	329	1823
153	330	1817
154	332	1812
155	333	1806
156	335	1800
157	337	1798
158	339	1793
159	340	1788
160	342	1783
161	344	1782
162	346	1777
163	347	1773
164	349	1768
165	351	1765
166	353	1761
167	354	1756
168	356	1750
169	357	1745
170	359	1740
171	360	1735
172	362	1730
173	363	1725
174	365	1721
175	367	1720
176	368	1715
177	370	1710
